,GeneID,Symbol,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene
21,27,ABL2,ABLL|ARG,MIM:164690|HGNC:HGNC:77|Ensembl:ENSG00000143322,1,1q25.2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",protein-coding
22,28,ABO,A3GALNT|A3GALT1|GTB|NAGAT,MIM:110300|HGNC:HGNC:79|Ensembl:ENSG00000175164,9,9q34.2,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",protein-coding
23,29,ABR,MDB,MIM:600365|HGNC:HGNC:81|Ensembl:ENSG00000159842,17,17p13.3,ABR activator of RhoGEF and GTPase,protein-coding
24,30,ACAA1,ACAA|PTHIO|THIO,MIM:604054|HGNC:HGNC:82|Ensembl:ENSG00000060971,3,3p22.2,acetyl-CoA acyltransferase 1,protein-coding
25,31,ACACA,ACAC|ACACAD|ACC|ACC1|ACCA,MIM:200350|HGNC:HGNC:84|Ensembl:ENSG00000278540,17,17q12,acetyl-CoA carboxylase alpha,protein-coding
26,32,ACACB,ACC2|ACCB|HACC275,MIM:601557|HGNC:HGNC:85|Ensembl:ENSG00000076555,12,12q24.11,acetyl-CoA carboxylase beta,protein-coding
27,33,ACADL,ACAD4|LCAD,MIM:609576|HGNC:HGNC:88|Ensembl:ENSG00000115361,2,2q34,acyl-CoA dehydrogenase long chain,protein-coding
28,34,ACADM,ACAD1|MCAD|MCADH,MIM:607008|HGNC:HGNC:89|Ensembl:ENSG00000117054,1,1p31.1,acyl-CoA dehydrogenase medium chain,protein-coding
29,35,ACADS,ACAD3|SCAD,MIM:606885|HGNC:HGNC:90|Ensembl:ENSG00000122971,12,12q24.31,acyl-CoA dehydrogenase short chain,protein-coding
30,36,ACADSB,2-MEBCAD|ACAD7|SBCAD,MIM:600301|HGNC:HGNC:91|Ensembl:ENSG00000196177,10,10q26.13,acyl-CoA dehydrogenase short/branched chain,protein-coding
31,37,ACADVL,ACAD6|LCACD|VLCAD,MIM:609575|HGNC:HGNC:92|Ensembl:ENSG00000072778,17,17p13.1,acyl-CoA dehydrogenase very long chain,protein-coding
32,38,ACAT1,ACAT|MAT|T2|THIL,MIM:607809|HGNC:HGNC:93|Ensembl:ENSG00000075239,11,11q22.3,acetyl-CoA acetyltransferase 1,protein-coding
33,39,ACAT2,-,MIM:100678|HGNC:HGNC:94|Ensembl:ENSG00000120437,6,6q25.3,acetyl-CoA acetyltransferase 2,protein-coding
34,40,ASIC2,ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1,MIM:601784|HGNC:HGNC:99|Ensembl:ENSG00000108684,17,17q11.2-q12,acid sensing ion channel subunit 2,protein-coding
35,41,ASIC1,ACCN2|ASIC|BNaC2,MIM:602866|HGNC:HGNC:100|Ensembl:ENSG00000110881,12,12q13.12,acid sensing ion channel subunit 1,protein-coding
36,43,ACHE,ACEE|ARACHE|N-ACHE|YT,MIM:100740|HGNC:HGNC:108|Ensembl:ENSG00000087085,7,7q22.1,acetylcholinesterase (Cartwright blood group),protein-coding
38,47,ACLY,ACL|ATPCL|CLATP,MIM:108728|HGNC:HGNC:115|Ensembl:ENSG00000131473,17,17q21.2,ATP citrate lyase,protein-coding
39,48,ACO1,ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1,MIM:100880|HGNC:HGNC:117|Ensembl:ENSG00000122729,9,9p21.1,aconitase 1,protein-coding
40,49,ACR,-,MIM:102480|HGNC:HGNC:126|Ensembl:ENSG00000100312,22,22q13.33,acrosin,protein-coding
41,50,ACO2,ACONM|HEL-S-284|ICRD|OCA8|OPA9,MIM:100850|HGNC:HGNC:118|Ensembl:ENSG00000100412,22,22q13.2,aconitase 2,protein-coding
42,51,ACOX1,ACOX|PALMCOX|SCOX,MIM:609751|HGNC:HGNC:119|Ensembl:ENSG00000161533,17,17q25.1,acyl-CoA oxidase 1,protein-coding
43,52,ACP1,HAAP|LMW-PTP|LMWPTP,MIM:171500|HGNC:HGNC:122|Ensembl:ENSG00000143727,2,2p25.3,acid phosphatase 1,protein-coding
44,53,ACP2,LAP,MIM:171650|HGNC:HGNC:123|Ensembl:ENSG00000134575,11,11p11.2|11p12-p11,"acid phosphatase 2, lysosomal",protein-coding
45,54,ACP5,HPAP|TRACP5a|TRACP5b|TRAP|TrATPase,MIM:171640|HGNC:HGNC:124|Ensembl:ENSG00000102575,19,19p13.2,"acid phosphatase 5, tartrate resistant",protein-coding
46,55,ACPP,5'-NT|ACP-3|ACP3,MIM:171790|HGNC:HGNC:125|Ensembl:ENSG00000014257,3,3q22.1,"acid phosphatase, prostate",protein-coding
48,58,ACTA1,ACTA|ASMA|CFTD|CFTD1|CFTDM|MPFD|NEM1|NEM2|NEM3|SHPM,MIM:102610|HGNC:HGNC:129|Ensembl:ENSG00000143632,1,1q42.13,"actin alpha 1, skeletal muscle",protein-coding
49,59,ACTA2,ACTSA,MIM:102620|HGNC:HGNC:130|Ensembl:ENSG00000107796,10,10q23.31,"actin alpha 2, smooth muscle",protein-coding
50,60,ACTB,BRWS1|PS1TP5BP1,MIM:102630|HGNC:HGNC:132|Ensembl:ENSG00000075624,7,7p22.1,actin beta,protein-coding
58,70,ACTC1,ACTC|ASD5|CMD1R|CMH11|LVNC4,MIM:102540|HGNC:HGNC:143|Ensembl:ENSG00000159251,15,15q14,actin alpha cardiac muscle 1,protein-coding
59,71,ACTG1,ACT|ACTG|DFNA20|DFNA26|HEL-176,MIM:102560|HGNC:HGNC:144|Ensembl:ENSG00000184009,17,17q25.3,actin gamma 1,protein-coding
60,72,ACTG2,ACT|ACTA3|ACTE|ACTL3|ACTSG|VSCM,MIM:102545|HGNC:HGNC:145|Ensembl:ENSG00000163017,2,2p13.1,"actin gamma 2, smooth muscle",protein-coding
67,81,ACTN4,ACTININ-4|FSGS|FSGS1,MIM:604638|HGNC:HGNC:166|Ensembl:ENSG00000130402,19,19q13.2,actinin alpha 4,protein-coding
70,86,ACTL6A,ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K,MIM:604958|HGNC:HGNC:24124|Ensembl:ENSG00000136518,3,3q26.33,actin like 6A,protein-coding
71,87,ACTN1,BDPLT15,MIM:102575|HGNC:HGNC:163|Ensembl:ENSG00000072110,14,14q24.1|14q22-q24,actinin alpha 1,protein-coding
72,88,ACTN2,CMD1AA|CMH23,MIM:102573|HGNC:HGNC:164|Ensembl:ENSG00000077522,1,1q43,actinin alpha 2,protein-coding
73,89,ACTN3,ACTN3D,MIM:102574|HGNC:HGNC:165|Ensembl:ENSG00000248746,11,11q13.2,actinin alpha 3 (gene/pseudogene),protein-coding
74,90,ACVR1,ACTRI|ACVR1A|ACVRLK2|ALK2|FOP|SKR1|TSRI,MIM:102576|HGNC:HGNC:171|Ensembl:ENSG00000115170,2,2q24.1,activin A receptor type 1,protein-coding
75,91,ACVR1B,ACTRIB|ACVRLK4|ALK4|SKR2,MIM:601300|HGNC:HGNC:172|Ensembl:ENSG00000135503,12,12q13.13,activin A receptor type 1B,protein-coding
76,92,ACVR2A,ACTRII|ACVR2,MIM:102581|HGNC:HGNC:173|Ensembl:ENSG00000121989,2,2q22.3-q23.1,activin A receptor type 2A,protein-coding
77,93,ACVR2B,ACTRIIB|ActR-IIB|HTX4,MIM:602730|HGNC:HGNC:174|Ensembl:ENSG00000114739,3,3p22.2,activin A receptor type 2B,protein-coding
78,94,ACVRL1,ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I,MIM:601284|HGNC:HGNC:175|Ensembl:ENSG00000139567,12,12q13.13,activin A receptor like type 1,protein-coding
79,95,ACY1,ACY-1|ACY1D|HEL-S-5,MIM:104620|HGNC:HGNC:177|Ensembl:ENSG00000243989,3,3p21.2,aminoacylase 1,protein-coding
80,97,ACYP1,ACYPE,MIM:600875|HGNC:HGNC:179|Ensembl:ENSG00000119640,14,14q24.3,acylphosphatase 1,protein-coding
81,98,ACYP2,ACYM|ACYP,MIM:102595|HGNC:HGNC:180|Ensembl:ENSG00000170634,2,2p16.2,acylphosphatase 2,protein-coding
82,100,ADA,-,MIM:608958|HGNC:HGNC:186|Ensembl:ENSG00000196839,20,20q13.12,adenosine deaminase,protein-coding
83,101,ADAM8,CD156|CD156a|MS2,MIM:602267|HGNC:HGNC:215|Ensembl:ENSG00000151651,10,10q26.3,ADAM metallopeptidase domain 8,protein-coding
84,102,ADAM10,AD10|AD18|CD156c|CDw156|HsT18717|MADM|RAK|kuz,MIM:602192|HGNC:HGNC:188|Ensembl:ENSG00000137845,15,15q21.3,ADAM metallopeptidase domain 10,protein-coding
85,103,ADAR,ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136,MIM:146920|HGNC:HGNC:225|Ensembl:ENSG00000160710,1,1q21.3,adenosine deaminase RNA specific,protein-coding
86,104,ADARB1,ADAR2|DRABA2|DRADA2|RED1,MIM:601218|HGNC:HGNC:226|Ensembl:ENSG00000197381,21,21q22.3,adenosine deaminase RNA specific B1,protein-coding
87,105,ADARB2,ADAR3|RED2,MIM:602065|HGNC:HGNC:227|Ensembl:ENSG00000185736,10,10p15.3,adenosine deaminase RNA specific B2 (inactive),protein-coding
89,107,ADCY1,AC1|DFNB44,MIM:103072|HGNC:HGNC:232|Ensembl:ENSG00000164742,7,7p12.3,adenylate cyclase 1,protein-coding
90,108,ADCY2,AC2|HBAC2,MIM:103071|HGNC:HGNC:233|Ensembl:ENSG00000078295,5,5p15.31,adenylate cyclase 2,protein-coding
91,109,ADCY3,AC-III|AC3|BMIQ19,MIM:600291|HGNC:HGNC:234|Ensembl:ENSG00000138031,2,2p23.3,adenylate cyclase 3,protein-coding
92,111,ADCY5,AC5|FDFM,MIM:600293|HGNC:HGNC:236|Ensembl:ENSG00000173175,3,3q21.1,adenylate cyclase 5,protein-coding
93,112,ADCY6,AC6|LCCS8,MIM:600294|HGNC:HGNC:237|Ensembl:ENSG00000174233,12,12q13.12,adenylate cyclase 6,protein-coding
94,113,ADCY7,AC7,MIM:600385|HGNC:HGNC:238|Ensembl:ENSG00000121281,16,16q12.1,adenylate cyclase 7,protein-coding
95,114,ADCY8,AC8|ADCY3|HBAC1,MIM:103070|HGNC:HGNC:239|Ensembl:ENSG00000155897,8,8q24.22,adenylate cyclase 8,protein-coding
96,115,ADCY9,AC9|ACIX,MIM:603302|HGNC:HGNC:240|Ensembl:ENSG00000162104,16,16p13.3,adenylate cyclase 9,protein-coding
97,116,ADCYAP1,PACAP,MIM:102980|HGNC:HGNC:241|Ensembl:ENSG00000141433,18,18p11.32,adenylate cyclase activating polypeptide 1,protein-coding
98,117,ADCYAP1R1,PAC1|PAC1R|PACAPR|PACAPRI,MIM:102981|HGNC:HGNC:242|Ensembl:ENSG00000078549,7,7p14.3,ADCYAP receptor type I,protein-coding
99,118,ADD1,ADDA,MIM:102680|HGNC:HGNC:243|Ensembl:ENSG00000087274,4,4p16.3,adducin 1,protein-coding
100,119,ADD2,ADDB,MIM:102681|HGNC:HGNC:244|Ensembl:ENSG00000075340,2,2p13.3,adducin 2,protein-coding
101,120,ADD3,ADDL|CPSQ3,MIM:601568|HGNC:HGNC:245|Ensembl:ENSG00000148700,10,10q25.1-q25.2,adducin 3,protein-coding
103,123,PLIN2,ADFP|ADRP,MIM:103195|HGNC:HGNC:248|Ensembl:ENSG00000147872,9,9p22.1,perilipin 2,protein-coding
104,124,ADH1A,ADH1,MIM:103700|HGNC:HGNC:249|Ensembl:ENSG00000187758,4,4q23,"alcohol dehydrogenase 1A (class I), alpha polypeptide",protein-coding
105,125,ADH1B,ADH2|HEL-S-117,MIM:103720|HGNC:HGNC:250|Ensembl:ENSG00000196616,4,4q23,"alcohol dehydrogenase 1B (class I), beta polypeptide",protein-coding
106,126,ADH1C,ADH3,MIM:103730|HGNC:HGNC:251|Ensembl:ENSG00000248144,4,4q23,"alcohol dehydrogenase 1C (class I), gamma polypeptide",protein-coding
107,127,ADH4,ADH-2|HEL-S-4,MIM:103740|HGNC:HGNC:252|Ensembl:ENSG00000198099,4,4q23,"alcohol dehydrogenase 4 (class II), pi polypeptide",protein-coding
108,128,ADH5,ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p,MIM:103710|HGNC:HGNC:253|Ensembl:ENSG00000197894,4,4q23,"alcohol dehydrogenase 5 (class III), chi polypeptide",protein-coding
109,130,ADH6,ADH-5,MIM:103735|HGNC:HGNC:255|Ensembl:ENSG00000172955,4,4q23,alcohol dehydrogenase 6 (class V),protein-coding
110,131,ADH7,ADH4,MIM:600086|HGNC:HGNC:256|Ensembl:ENSG00000196344,4,4q23,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",protein-coding
111,132,ADK,AK,MIM:102750|HGNC:HGNC:257|Ensembl:ENSG00000156110,10,10q22.2|10q11-q24,adenosine kinase,protein-coding
112,133,ADM,AM|PAMP,MIM:103275|HGNC:HGNC:259|Ensembl:ENSG00000148926,11,11p15.4,adrenomedullin,protein-coding
113,134,ADORA1,RDC7,MIM:102775|HGNC:HGNC:262|Ensembl:ENSG00000163485,1,1q32.1,adenosine A1 receptor,protein-coding
114,135,ADORA2A,A2aR|ADORA2|RDC8,MIM:102776|HGNC:HGNC:263|Ensembl:ENSG00000128271,22,22q11.23,adenosine A2a receptor,protein-coding
115,136,ADORA2B,ADORA2,MIM:600446|HGNC:HGNC:264|Ensembl:ENSG00000170425,17,17p12,adenosine A2b receptor,protein-coding
117,140,ADORA3,A3AR,MIM:600445|HGNC:HGNC:268|Ensembl:ENSG00000282608,1,1p13.2,adenosine A3 receptor,protein-coding
118,141,ADPRH,ARH1|hARH1,MIM:603081|HGNC:HGNC:269|Ensembl:ENSG00000144843,3,3q13.33,ADP-ribosylarginine hydrolase,protein-coding
119,142,PARP1,ADPRT|ADPRT 1|ADPRT1|ARTD1|PARP|PARP-1|PPOL|pADPRT-1,MIM:173870|HGNC:HGNC:270|Ensembl:ENSG00000143799,1,1q42.12,poly(ADP-ribose) polymerase 1,protein-coding
120,143,PARP4,ADPRTL1|ARTD4|PARP-4|PARPL|PH5P|VAULT3|VPARP|VWA5C|p193,MIM:607519|HGNC:HGNC:271|Ensembl:ENSG00000102699,13,13q12.12,poly(ADP-ribose) polymerase family member 4,protein-coding
123,146,ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2,MIM:104219|HGNC:HGNC:280|Ensembl:ENSG00000171873,20,20p13,adrenoceptor alpha 1D,protein-coding
124,147,ADRA1B,ADRA1|ALPHA1BAR,MIM:104220|HGNC:HGNC:278|Ensembl:ENSG00000170214,5,5q33.3,adrenoceptor alpha 1B,protein-coding
125,148,ADRA1A,ADRA1C|ADRA1L1|ALPHA1AAR,MIM:104221|HGNC:HGNC:277|Ensembl:ENSG00000120907,8,8p21.2,adrenoceptor alpha 1A,protein-coding
126,150,ADRA2A,ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32,MIM:104210|HGNC:HGNC:281|Ensembl:ENSG00000150594,10,10q25.2,adrenoceptor alpha 2A,protein-coding
127,151,ADRA2B,ADRA2L1|ADRA2RL1|ADRARL1|ALPHA2BAR|FAME2|alpha-2BAR,MIM:104260|HGNC:HGNC:282|Ensembl:ENSG00000274286,2,2q11.2,adrenoceptor alpha 2B,protein-coding
128,152,ADRA2C,ADRA2L2|ADRA2RL2|ADRARL2|ALPHA2CAR,MIM:104250|HGNC:HGNC:283|Ensembl:ENSG00000184160,4,4p16.3,adrenoceptor alpha 2C,protein-coding
129,153,ADRB1,ADRB1R|B1AR|BETA1AR|RHR,MIM:109630|HGNC:HGNC:285|Ensembl:ENSG00000043591,10,10q25.3,adrenoceptor beta 1,protein-coding
130,154,ADRB2,ADRB2R|ADRBR|B2AR|BAR|BETA2AR,MIM:109690|HGNC:HGNC:286|Ensembl:ENSG00000169252,5,5q32,adrenoceptor beta 2,protein-coding
131,155,ADRB3,BETA3AR,MIM:109691|HGNC:HGNC:288|Ensembl:ENSG00000188778,8,8p11.23,adrenoceptor beta 3,protein-coding
132,156,GRK2,ADRBK1|BARK1|BETA-ARK1,MIM:109635|HGNC:HGNC:289|Ensembl:ENSG00000173020,11,11q13.2,G protein-coupled receptor kinase 2,protein-coding
133,157,GRK3,ADRBK2|BARK2,MIM:109636|HGNC:HGNC:290|Ensembl:ENSG00000100077,22,22q12.1,G protein-coupled receptor kinase 3,protein-coding
134,158,ADSL,AMPS|ASASE|ASL,MIM:608222|HGNC:HGNC:291|Ensembl:ENSG00000239900,22,22q13.1,adenylosuccinate lyase,protein-coding
135,159,ADSS2,ADEH|ADSS|ADSS 2,MIM:103060|HGNC:HGNC:292|Ensembl:ENSG00000035687,1,1q44,adenylosuccinate synthase 2,protein-coding
136,160,AP2A1,ADTAA|AP2-ALPHA|CLAPA1,MIM:601026|HGNC:HGNC:561|Ensembl:ENSG00000196961,19,19q13.33,adaptor related protein complex 2 subunit alpha 1,protein-coding
137,161,AP2A2,ADTAB|CLAPA2|HIP-9|HIP9|HYPJ,MIM:607242|HGNC:HGNC:562|Ensembl:ENSG00000183020,11,11p15.5,adaptor related protein complex 2 subunit alpha 2,protein-coding
138,162,AP1B1,ADTB1|AP105A|BAM22|CLAPB2,MIM:600157|HGNC:HGNC:554|Ensembl:ENSG00000100280,22,22q12.2,adaptor related protein complex 1 subunit beta 1,protein-coding
139,163,AP2B1,ADTB2|AP105B|AP2-BETA|CLAPB1,MIM:601025|HGNC:HGNC:563|Ensembl:ENSG00000006125,17,17q12,adaptor related protein complex 2 subunit beta 1,protein-coding
140,164,AP1G1,ADTG|CLAPG1,MIM:603533|HGNC:HGNC:555|Ensembl:ENSG00000166747,16,16q22.2,adaptor related protein complex 1 subunit gamma 1,protein-coding
141,165,AEBP1,ACLP,MIM:602981|HGNC:HGNC:303|Ensembl:ENSG00000106624,7,7p13,AE binding protein 1,protein-coding
142,166,TLE5,AES|AES-1|AES-2|ESP1|GRG|GRG5|Grg-5,MIM:600188|HGNC:HGNC:307|Ensembl:ENSG00000104964,19,19p13.3,"TLE family member 5, transcriptional modulator",protein-coding
147,172,AFG3L1P,AFG3|AFG3L1,MIM:603020|HGNC:HGNC:314|Ensembl:ENSG00000223959,16,16q24.3,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",pseudo
148,173,AFM,ALB2|ALBA|ALF,MIM:104145|HGNC:HGNC:316|Ensembl:ENSG00000079557,4,4q13.3,afamin,protein-coding
149,174,AFP,AFPD|FETA|HPAFP,MIM:104150|HGNC:HGNC:317|Ensembl:ENSG00000081051,4,4q13.3,alpha fetoprotein,protein-coding
150,175,AGA,AGU|ASRG|GA,MIM:613228|HGNC:HGNC:318|Ensembl:ENSG00000038002,4,4q34.3,aspartylglucosaminidase,protein-coding
151,176,ACAN,AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK|SSOAOD,MIM:155760|HGNC:HGNC:319|Ensembl:ENSG00000157766,15,15q26.1,aggrecan,protein-coding
152,177,AGER,RAGE|SCARJ1,MIM:600214|HGNC:HGNC:320|Ensembl:ENSG00000204305,6,6p21.32,advanced glycosylation end-product specific receptor,protein-coding
153,178,AGL,GDE,MIM:610860|HGNC:HGNC:321|Ensembl:ENSG00000162688,1,1p21.2,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",protein-coding
155,181,AGRP,AGRT|ART|ASIP2,MIM:602311|HGNC:HGNC:330|Ensembl:ENSG00000159723,16,16q22.1,agouti related neuropeptide,protein-coding
156,182,JAG1,AGS|AGS1|AHD|AWS|CD339|DCHE|HJ1|JAGL1,MIM:601920|HGNC:HGNC:6188|Ensembl:ENSG00000101384,20,20p12.2,jagged canonical Notch ligand 1,protein-coding
157,183,AGT,ANHU|SERPINA8|hFLT1,MIM:106150|HGNC:HGNC:333|Ensembl:ENSG00000135744,1,1q42.2,angiotensinogen,protein-coding
158,185,AGTR1,AG2S|AGTR1B|AT1|AT1AR|AT1B|AT1BR|AT1R|AT2R1|HAT1R,MIM:106165|HGNC:HGNC:336|Ensembl:ENSG00000144891,3,3q24,angiotensin II receptor type 1,protein-coding
159,186,AGTR2,AT2|ATGR2|MRX88,MIM:300034|HGNC:HGNC:338|Ensembl:ENSG00000180772,X,Xq23,angiotensin II receptor type 2,protein-coding
160,187,APLNR,AGTRL1|APJ|APJR|HG11,MIM:600052|HGNC:HGNC:339|Ensembl:ENSG00000134817,11,11q12.1,apelin receptor,protein-coding
161,189,AGXT,AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6,MIM:604285|HGNC:HGNC:341|Ensembl:ENSG00000172482,2,2q37.3,alanine--glyoxylate and serine--pyruvate aminotransferase,protein-coding
162,190,NR0B1,AHC|AHCH|AHX|DAX-1|DAX1|DSS|GTD|HHG|NROB1|SRXY2,MIM:300473|HGNC:HGNC:7960|Ensembl:ENSG00000169297,X,Xp21.2,nuclear receptor subfamily 0 group B member 1,protein-coding
163,191,AHCY,SAHH|adoHcyase,MIM:180960|HGNC:HGNC:343|Ensembl:ENSG00000101444,20,20q11.22,adenosylhomocysteinase,protein-coding
165,196,AHR,RP85|bHLHe76,MIM:600253|HGNC:HGNC:348|Ensembl:ENSG00000106546,7,7p21.1,aryl hydrocarbon receptor,protein-coding
166,197,AHSG,A2HS|AHS|APMR1|FETUA|HSGA,MIM:138680|HGNC:HGNC:349|Ensembl:ENSG00000145192,3,3q27.3,alpha 2-HS glycoprotein,protein-coding
167,199,AIF1,AIF-1|IBA1|IRT-1|IRT1,MIM:601833|HGNC:HGNC:352|Ensembl:ENSG00000204472,6,6p21.33,allograft inflammatory factor 1,protein-coding
169,202,CRYBG1,AIM1|ST4,MIM:601797|HGNC:HGNC:356|Ensembl:ENSG00000112297,6,6q21,crystallin beta-gamma domain containing 1,protein-coding
170,203,AK1,HTL-S-58j,MIM:103000|HGNC:HGNC:361|Ensembl:ENSG00000106992,9,9q34.11,adenylate kinase 1,protein-coding
171,204,AK2,ADK2,MIM:103020|HGNC:HGNC:362|Ensembl:ENSG00000004455,1,1p35.1,adenylate kinase 2,protein-coding
172,205,AK4,AK 4|AK3|AK3L1|AK3L2,MIM:103030|HGNC:HGNC:363|Ensembl:ENSG00000162433,1,1p31.3,adenylate kinase 4,protein-coding
174,207,AKT1,AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA,MIM:164730|HGNC:HGNC:391|Ensembl:ENSG00000142208,14,14q32.33,AKT serine/threonine kinase 1,protein-coding
175,208,AKT2,HIHGHH|PKBB|PKBBETA|PRKBB|RAC-BETA,MIM:164731|HGNC:HGNC:392|Ensembl:ENSG00000105221,19,19q13.2,AKT serine/threonine kinase 2,protein-coding
176,210,ALAD,ALADH|PBGS,MIM:125270|HGNC:HGNC:395|Ensembl:ENSG00000148218,9,9q32,aminolevulinate dehydratase,protein-coding
177,211,ALAS1,ALAS|ALAS-H|ALAS3|ALASH|MIG4,MIM:125290|HGNC:HGNC:396|Ensembl:ENSG00000023330,3,3p21.2,5'-aminolevulinate synthase 1,protein-coding
178,212,ALAS2,ALAS-E|ALASE|ANH1|ASB|SIDBA1|XLDPP|XLEPP|XLSA,MIM:301300|HGNC:HGNC:397|Ensembl:ENSG00000158578,X,Xp11.21,5'-aminolevulinate synthase 2,protein-coding
179,213,ALB,HSA|PRO0883|PRO0903|PRO1341,MIM:103600|HGNC:HGNC:399|Ensembl:ENSG00000163631,4,4q13.3,albumin,protein-coding
180,214,ALCAM,CD166|MEMD,MIM:601662|HGNC:HGNC:400|Ensembl:ENSG00000170017,3,3q13.11,activated leukocyte cell adhesion molecule,protein-coding
181,215,ABCD1,ABC42|ALD|ALDP|AMN,MIM:300371|HGNC:HGNC:61|Ensembl:ENSG00000101986,X,Xq28,ATP binding cassette subfamily D member 1,protein-coding
182,216,ALDH1A1,ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1,MIM:100640|HGNC:HGNC:402|Ensembl:ENSG00000165092,9,9q21.13,aldehyde dehydrogenase 1 family member A1,protein-coding
183,217,ALDH2,ALDH-E2|ALDHI|ALDM,MIM:100650|HGNC:HGNC:404|Ensembl:ENSG00000111275,12,12q24.12,aldehyde dehydrogenase 2 family member,protein-coding
